timeSeries,lon,lat
"3147",-153.16603,57.770264
"3148",-152.89644,57.768173
"3149",-152.81221,57.767403
"3150",-152.4753,57.763744
"3151",-152.27274,57.770065
"3174",-155.59329,57.7808
"3175",-155.47533,57.78225
"3176",-155.3233,57.774994
"3177",-155.28928,57.766396
"3178",-153.90749,57.781963
"3179",-153.51978,57.781075
"3180",-153.43564,57.77177
"3181",-153.4188,57.771694
"3182",-153.38509,57.771534
"3183",-153.35123,57.780315
"3184",-153.14874,57.788055
"3185",-152.82875,57.776512
"3186",-152.4749,57.772694
"3187",-152.32285,57.779705
"3188",-152.28958,57.770298
"3189",-152.25545,57.77878
"3212",-155.49217,57.782047
"3213",-155.32364,57.783947
"3214",-155.2896,57.77535
"3215",-153.8906,57.790905
"3216",-153.53651,57.790092
"3217",-153.45236,57.7808
"3218",-153.38461,57.79839
"3219",-153.35106,57.78927
"3220",-153.19933,57.788387
